"","text","creation_time","isRetweet","retweet_count","favoite_count","user"
"79"," ShoppingIndia Romantic Hero Shahrukh and Pretty Girl Alia Made a Hit on Dear Zindagi
httpstcoYnomrcYPc",2016-10-23 18:31:26,TRUE,55,0,"Tylerty11"
"80"," BOCapsule BOCapsule EXCLUSIVE iamsrk And aliaa Starrer DearZindagi Sold To NH Studioz
httpstcolhHcUf httpstcobnNUD…",2016-10-23 18:25:20,TRUE,14,0,"IAMRSAD"
"81","iAbhiTweets  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> yss we use Chu

Hu Shahrukh ne love kru Chu<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E62>",2016-10-23 18:22:24,FALSE,0,0,"srb_555"
"82","I added a video to a YouTube playlist httpstcokOLAar Kal Ho Naa Ho  Maahi Ve Video  Shahrukh Khan Saif Preity",2016-10-23 18:19:24,FALSE,0,0,"BosyAli8893"
"83","I liked a YouTube video from youcandowonders httpstcoFsJBlXes  Mind Tricks Shahrukh Uses To Be Popular  How To Have",2016-10-23 18:09:48,FALSE,0,0,"DjADISSON"
"84"," SRKUniverse ‘Experience Bengal’ ads featuring Shah Rukh Khan to launch soon
httpstcouWyJnDmbM httpstcoQgdIYFEQ",2016-10-23 18:03:50,TRUE,166,0,"iamSRK_SAmeer"
"85"," Stylewhack Here is much awaited story of ShahRukh Khan FanClub iamsrk SRKUniverse Maishaan sabse badaa fan
Stylewhack Fans https…",2016-10-23 18:01:39,TRUE,130,0,"iamSRKdevotee"
"86"," SRKUniverse ‘Experience Bengal’ ads featuring Shah Rukh Khan to launch soon
httpstcouWyJnDmbM httpstcoQgdIYFEQ",2016-10-23 18:01:36,TRUE,166,0,"MyNameIsSneha"
"87"," AmritaSehdev Priyanshujora namitadubey some onscreen couples are meant to be togethermake history like ShahrukhampKajol amp Meera amp…",2016-10-23 18:00:42,TRUE,3,0,"shephali_arora"
"88"," Stylewhack Here is much awaited story of ShahRukh Khan FanClub iamsrk SRKUniverse Maishaan sabse badaa fan
Stylewhack Fans https…",2016-10-23 17:59:35,TRUE,130,0,"MyNameIsSneha"
"89","Shahrukh Khan Archives  Customer Care Number httpstcoYYqHgLB",2016-10-23 17:57:23,FALSE,0,2,"GunelKhan"
"90","iamsrk hello shahrukh sir its for uall in hope u like it httpstcoUErdQV",2016-10-23 17:57:12,FALSE,0,0,"shah7066"
"91","Any fans for the classic KalHoNaHo httpstcohABlxYfJI SRK PreityZinta SaifAliKhan prachi httpstcopmAxWnUAf",2016-10-23 17:48:01,FALSE,0,0,"ListlyIndia"
"92","I added a video to a YouTube playlist httpstconjCADZVeEn Kal Ho Naa Ho  Title Track Video  Shahrukh Khan Saif Preity",2016-10-23 17:45:26,FALSE,0,0,"BosyAli8893"
"93","iamsrk Shahrukh Sir  oct mera bday hai
But wo complete tbhi hoga jab apki wishes sath hogi I Luv U Alot <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> Apke Rply Ka wait rhega",2016-10-23 17:45:13,FALSE,0,1,"Imsrk_fan_paul"
"94"," of the world population s n love with Britly Angelina Jolie Shahrukh Khan etc amp dont even know about FridoMrkasLuther KingGandi",2016-10-23 17:40:03,FALSE,0,0,"Afridiov"
"95"," imranmkkhan Fadnavis holding meeting with Patriot Raj Thackeray AntiNational Karan Johar and Shahrukh Khan standing on the right sid…",2016-10-23 17:33:08,TRUE,6,0,"dennisjohn86"
"96"," Sarveshsrkk DearZindagiTakeBollywood can create  salman and aamir khan but only God can create one shahrukh khan  Dilip Kumar…",2016-10-23 17:31:30,TRUE,5,0,"I_am_arbaz"
